FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point
03:04:44,23.1,22.3,93.8,962.5,24.6,22
03:04:46,23.1,22.3,93.8,962.5,24.6,22
03:04:48,23,22.3,93.8,962.4,24.6,22
03:04:50,23,22.3,93.8,962.4,24.6,22
03:04:52,23,22.3,93.8,962.4,24.6,22
03:04:54,23,22.3,93.8,962.5,24.6,22
03:04:56,23,22.3,93.8,962.4,24.6,22
03:04:58,23.1,22.3,93.8,962.5,24.6,22
03:05:00,23,22.3,93.8,962.4,24.6,22
03:05:02,23,22.3,93.8,962.5,24.6,22
03:05:04,23,22.3,93.8,962.4,24.6,22
03:05:06,23,22.3,93.8,962.4,24.6,22
03:05:08,23.1,22.3,93.8,962.4,24.6,22
03:05:10,23,22.3,93.8,962.4,24.6,22
03:05:12,23,22.3,93.8,962.4,24.6,22
03:05:14,23,22.3,93.8,962.4,24.6,22
03:05:16,23.1,22.3,93.8,962.3,24.6,22
03:05:18,23,22.3,93.8,962.4,24.6,22
03:05:20,23,22.3,93.8,962.4,24.6,22
03:05:22,23,22.3,93.8,962.4,24.6,22
03:05:24,23,22.3,93.8,962.3,24.6,22
03:05:26,23.1,22.3,93.8,962.4,24.6,22
03:05:28,23.1,22.3,93.8,962.4,24.6,22
03:05:30,23.1,22.3,93.8,962.5,24.6,22
03:05:32,23,22.3,93.8,962.4,24.6,22
03:05:34,23,22.3,93.8,962.4,24.6,22
03:05:36,23,22.3,93.8,962.5,24.6,22
03:05:38,23,22.3,93.8,962.5,24.6,22
03:05:40,23,22.3,93.8,962.4,24.6,22
03:05:42,23,22.3,93.8,962.4,24.6,22
03:05:44,23,22.3,93.8,962.4,24.6,21.9
03:05:46,23.1,22.3,93.8,962.4,24.6,22
03:05:48,23,22.3,93.8,962.4,24.6,22
03:05:50,23.1,22.3,93.8,962.4,24.6,22
03:05:52,23,22.3,93.8,962.4,24.7,22
03:05:54,23,22.3,93.8,962.4,24.6,22
03:05:56,23,22.3,93.8,962.3,24.6,22
03:05:58,23,22.3,93.8,962.4,24.6,22
03:06:00,23,22.3,93.8,962.5,24.6,22
03:06:02,23,22.3,93.8,962.4,24.6,22
03:06:04,23,22.3,93.8,962.4,24.6,22
03:06:06,23,22.3,93.8,962.3,24.6,22
03:06:08,23,22.3,93.8,962.5,24.6,22
03:06:10,23,22.3,93.8,962.4,24.6,22
03:06:12,23,22.3,93.8,962.4,24.6,22
03:06:14,23,22.3,93.8,962.5,24.6,22
03:06:16,23,22.3,93.8,962.4,24.6,22
03:06:18,23,22.3,93.8,962.4,24.6,22
03:06:20,23,22.3,93.8,962.3,24.6,22
03:06:22,23,22.3,93.8,962.5,24.6,22
03:06:24,23,22.3,93.8,962.3,24.6,22
03:06:26,23,22.3,93.8,962.4,24.6,22
03:06:28,23,22.3,93.8,962.4,24.6,22
03:06:30,23,22.3,93.8,962.3,24.6,22
03:06:32,23,22.3,93.8,962.4,24.6,22
03:06:34,23,22.3,93.8,962.5,24.6,22
03:06:36,23,22.3,93.8,962.5,24.6,22
03:06:38,23,22.3,93.8,962.4,24.6,22
03:06:40,23,22.3,93.8,962.4,24.6,22
03:06:42,23,22.3,93.8,962.4,24.6,22
03:06:44,23,22.3,93.8,962.4,24.6,22
03:06:46,23,22.3,93.8,962.4,24.7,22
03:06:48,23.1,22.3,93.8,962.5,24.6,22
03:06:50,23.1,22.3,93.8,962.5,24.6,22
03:06:52,23,22.3,93.8,962.4,24.6,22
03:06:54,23,22.3,93.8,962.5,24.7,22
03:06:56,23,22.3,93.8,962.4,24.6,22
03:06:58,23,22.3,93.8,962.5,24.6,22
03:07:00,23,22.3,93.8,962.4,24.6,22
03:07:02,23,22.3,93.8,962.4,24.7,22
03:07:04,23.1,22.3,93.8,962.4,24.6,22
03:07:06,23,22.3,93.8,962.4,24.6,22
03:07:08,23,22.3,93.8,962.4,24.6,22
03:07:10,23,22.3,93.8,962.4,24.6,22
03:07:12,23,22.3,93.8,962.4,24.6,22
03:07:14,23,22.3,93.8,962.4,24.6,22
03:07:16,23,22.3,93.8,962.4,24.6,22
03:07:18,23,22.3,93.8,962.2,24.6,22
03:07:20,23,22.3,93.8,962.5,24.6,22
03:07:22,23,22.3,93.8,962.3,24.6,22
03:07:24,23,22.3,93.8,962.4,24.6,22
03:07:26,23,22.3,93.8,962.4,24.6,22
03:07:28,23,22.3,93.8,962.3,24.6,22
03:07:30,23,22.3,93.8,962.3,24.7,22
03:07:32,23.1,22.3,93.8,962.4,24.6,22
03:07:34,23,22.3,93.8,962.3,24.7,22
03:07:36,23.1,22.3,93.8,962.3,24.6,22
03:07:38,23.1,22.3,93.8,962.4,24.6,22
03:07:40,23,22.3,93.8,962.4,24.6,22
03:07:42,23,22.3,93.8,962.5,24.6,22
03:07:44,23,22.3,93.8,962.4,24.6,22
03:07:46,23,22.3,93.8,962.2,24.6,22
03:07:48,23,22.3,93.8,962.4,24.6,22
03:07:50,23,22.3,93.8,962.3,24.6,22
03:07:52,23.1,22.3,93.8,962.4,24.6,22
03:07:54,23,22.3,93.8,962.3,24.6,22
03:07:56,23,22.3,93.8,962.3,24.6,22
03:07:58,23,22.3,93.8,962.4,24.6,22
03:08:00,23,22.3,93.8,962.3,24.6,22
03:08:02,23.1,22.3,93.8,962.4,24.6,22
03:08:04,23.1,22.3,93.8,962.3,24.6,22
03:08:06,23,22.3,93.8,962.4,24.6,22
03:08:08,23,22.3,93.8,962.3,24.6,22
03:08:10,23,22.3,93.8,962.4,24.7,22
03:08:12,23,22.3,93.8,962.3,24.7,22
03:08:14,23.1,22.3,93.8,962.4,24.6,22
03:08:16,23,22.3,93.8,962.4,24.7,22
03:08:18,23,22.3,93.8,962.4,24.6,22
03:08:20,23,22.3,93.8,962.4,24.6,22
03:08:22,23.1,22.3,93.8,962.4,24.6,22
03:08:24,23,22.3,93.8,962.3,24.6,22
03:08:26,23,22.3,93.8,962.3,24.6,22
03:08:28,23.1,22.3,93.8,962.4,24.6,22
03:08:30,23.1,22.3,93.8,962.3,24.6,22
03:08:32,23,22.3,93.8,962.3,24.6,22
03:08:34,23,22.3,93.8,962.4,24.6,22
03:08:36,23,22.3,93.8,962.4,24.6,22
03:08:38,23,22.3,93.8,962.4,24.6,22
03:08:40,23,22.3,93.8,962.4,24.6,22
03:08:42,23,22.2,93.8,962.3,24.4,21.9
03:08:44,23,22.3,93.8,962.4,24.6,22
03:08:46,23,22.3,93.8,962.4,24.6,22
03:08:48,23.1,22.3,93.8,962.4,24.6,22
03:08:50,23,22.3,93.8,962.5,24.6,22
03:08:52,23,22.3,93.8,962.4,24.6,22
03:08:54,23,22.3,93.8,962.4,24.6,22
03:08:56,23,22.3,93.8,962.3,24.6,22
03:08:58,23.1,22.3,93.8,962.4,24.6,22
03:09:00,23.1,22.3,93.8,962.4,24.6,22
03:09:02,23.1,22.3,93.8,962.3,24.6,22
03:09:04,23.1,22.3,93.8,962.5,24.7,22
03:09:06,23,22.3,93.8,962.4,24.6,22
03:09:08,23,22.3,93.8,962.4,24.6,22
03:09:10,23,22.3,93.8,962.3,24.6,22
03:09:12,23,22.3,93.8,962.4,24.6,22
03:09:14,23,22.3,93.8,962.3,24.6,22
03:09:16,23,22.3,93.8,962.4,24.6,22
03:09:18,23,22.3,93.8,962.4,24.7,22
03:09:20,23,22.3,93.8,962.3,24.6,22
03:09:22,23.1,22.3,93.8,962.4,24.6,22
03:09:24,23.1,22.3,93.8,962.4,24.6,22
03:09:26,23.1,22.3,93.8,962.5,24.6,22
03:09:28,23.1,22.3,93.8,962.4,24.6,22
03:09:30,23.1,22.3,93.8,962.4,24.7,22
03:09:32,23,22.3,93.8,962.4,24.6,22
03:09:34,23.1,22.3,93.8,962.3,24.7,22
03:09:36,23.1,22.3,93.8,962.5,24.6,22
03:09:38,23.1,22.3,93.8,962.4,24.6,22
03:09:40,23,22.3,93.8,962.4,24.6,22
03:09:42,23.1,22.3,93.8,962.4,24.6,22
03:09:44,23,22.3,93.8,962.3,24.6,22
03:09:46,23.1,22.3,93.8,962.5,24.7,22
03:09:48,23,22.3,93.8,962.4,24.6,22
03:09:50,23,22.3,93.8,962.5,24.6,22
03:09:52,23,22.3,93.8,962.5,24.7,22
03:09:54,23,22.3,93.8,962.4,24.7,22
03:09:56,23,22.3,93.8,962.4,24.6,22
03:09:58,23.1,22.3,93.8,962.4,24.6,22
03:10:00,23,22.3,93.8,962.4,24.6,22
03:10:02,23.1,22.3,93.8,962.4,24.7,22
03:10:04,23,22.3,93.8,962.4,24.7,22
03:10:06,23,22.3,93.8,962.4,24.6,22
03:10:08,23.1,22.3,93.8,962.4,24.6,22
03:10:10,23.1,22.3,93.8,962.4,24.7,22
03:10:12,23,22.3,93.8,962.4,24.7,22
03:10:14,23,22.3,93.8,962.5,24.6,22
03:10:16,23.1,22.3,93.8,962.5,24.6,22
03:10:18,23,22.3,93.8,962.2,24.6,22
03:10:20,23,22.3,93.8,962.4,24.6,22
03:10:22,23.1,22.3,93.8,962.4,24.6,22
03:10:24,23.1,22.3,93.8,962.4,24.6,22
03:10:26,23.1,22.3,93.8,962.3,24.6,22
03:10:28,23.1,22.3,93.8,962.4,24.7,22
03:10:30,23.1,22.3,93.8,962.4,24.6,22
03:10:32,23.1,22.3,93.8,962.4,24.7,22
03:10:34,23,22.3,93.8,962.4,24.6,22
03:10:36,23,22.3,93.8,962.5,24.6,22
03:10:38,23.1,22.3,93.8,962.4,24.6,22
03:10:40,23.1,22.3,93.8,962.4,24.6,22
03:10:42,23.1,22.3,93.8,962.5,24.6,22
03:10:44,23,22.3,93.8,962.4,24.6,22
