date,time,celltemp,cellpres,co2,co2abs,h2o,h2oabs,h2odewpoint,ivolt,raw_co2,raw_co2ref,raw_h2o,raw_h2oref,raw_flowrate
01/01/2000,01:51:21.78,44.2322,97.4175,406.739,0.090245609,30.0239,0.1419903,23.6062,17.75645,4783326.0,5828231.0,3494696.0,4196346.0,0.08645008
01/01/2000,01:51:22.32,44.2581,97.417,406.753,0.090242328,30.0603,0.14209371,23.6262,17.721202,4783574.0,5828432.0,3494074.0,4196359.0,0.086266365
01/01/2000,01:51:22.85,44.2789,97.418,406.713,0.090233087,30.0976,0.14220321,23.647,17.747218,4783532.0,5828361.0,3493605.0,4196107.0,0.086265926
01/01/2000,01:51:23.39,44.2997,97.4175,406.652,0.09021902,30.1425,0.14233386,23.6716,17.749736,4783888.0,5828632.0,3492960.0,4196299.0,0.086362457
01/01/2000,01:51:23.79,44.3231,97.4184,405.991,0.090109291,30.2002,0.14250469,23.7036,17.742183,4784558.0,5828202.0,3492390.0,4196319.0,0.086274271
01/01/2000,01:51:24.30,44.3465,97.4209,405.593,0.090043363,30.2529,0.14266216,23.733,17.739665,4784824.0,5828925.0,3491928.0,4196601.0,0.086273164
01/01/2000,01:51:24.81,44.3648,97.4197,405.222,0.089979171,30.3037,0.14281004,23.7606,17.826948,4785725.0,5828799.0,3491710.0,4196949.0,0.086273717
01/01/2000,01:51:25.31,44.3882,97.4219,404.217,0.089814958,30.3546,0.14296132,23.7889,17.833662,4786158.0,5828443.0,3491143.0,4197139.0,0.086184854
01/01/2000,01:51:25.82,44.4143,97.423,403.668,0.089722576,30.4068,0.14311414,23.8176,17.750575,4786596.0,5828674.0,3490526.0,4197022.0,0.086377172
01/01/2000,01:51:26.32,44.4404,97.424,402.891,0.089593048,30.4521,0.14324587,23.8425,17.753093,4787779.0,5828756.0,3490526.0,4197688.0,0.086385307
01/01/2000,01:51:26.83,44.4614,97.4247,402.205,0.08947915,30.4963,0.14337503,23.8668,17.741343,4788704.0,5829780.0,3490446.0,4198192.0,0.086481199
01/01/2000,01:51:27.33,44.4849,97.4247,401.963,0.089435577,30.5398,0.14350062,23.8905,17.73463,4789221.0,5829950.0,3490051.0,4198348.0,0.086384963
01/01/2000,01:51:27.83,44.5058,97.4225,401.321,0.089325723,30.5836,0.14362454,23.9139,17.732951,4790263.0,5830270.0,3489837.0,4198674.0,0.086193189
01/01/2000,01:51:28.34,44.5294,97.4265,400.508,0.089193401,30.6235,0.14374411,23.9363,17.751414,4790913.0,5830314.0,3489581.0,4198955.0,0.086489009
01/01/2000,01:51:28.85,44.5556,97.4275,399.697,0.089057922,30.6557,0.14383542,23.954,17.7447,4791532.0,5830078.0,3489470.0,4199128.0,0.086295976
01/01/2000,01:51:29.35,44.5818,97.4287,398.779,0.088905038,30.6871,0.14392453,23.9712,17.747218,4792251.0,5829983.0,3489261.0,4199444.0,0.086303997
01/01/2000,01:51:29.85,44.6029,97.4294,398.201,0.088807945,30.7169,0.14400959,23.9875,17.759807,4792878.0,5830472.0,3489258.0,4199707.0,0.086400012
01/01/2000,01:51:30.36,44.6291,97.4292,398.189,0.088800611,30.7352,0.14405721,23.9974,17.743861,4793713.0,5831666.0,3489157.0,4199787.0,0.086400117
01/01/2000,01:51:30.86,44.6528,97.4315,397.425,0.088673954,30.7653,0.14414423,24.0141,17.680917,4794470.0,5830788.0,3488867.0,4200090.0,0.08640769
01/01/2000,01:51:31.37,44.6765,97.4315,396.203,0.088470697,30.8013,0.14424633,24.0335,17.764842,4794898.0,5830504.0,3488771.0,4200325.0,0.086503944
01/01/2000,01:51:31.78,44.7002,97.4324,396.002,0.088434276,30.8164,0.14428645,24.0419,17.749736,4795724.0,5831847.0,3488904.0,4200528.0,0.086407251
01/01/2000,01:51:32.28,44.7292,97.4337,395.664,0.088374671,30.8354,0.14433693,24.0523,17.743861,4796731.0,5831969.0,3488759.0,4200806.0,0.086607685
01/01/2000,01:51:32.78,44.7557,97.4337,395.208,0.088295278,30.8642,0.14441621,24.0679,17.777431,4797049.0,5832441.0,3488522.0,4200846.0,0.086703729
01/01/2000,01:51:33.28,44.7821,97.4349,395.324,0.088310298,30.8812,0.14446175,24.0773,17.763164,4797574.0,5833186.0,3488807.0,4201312.0,0.086711769
01/01/2000,01:51:33.78,44.8059,97.4357,395.2,0.08828598,30.8841,0.14446455,24.079,17.7447,4798267.0,5833610.0,3488943.0,4201380.0,0.086519231
01/01/2000,01:51:34.28,44.8297,97.4342,394.918,0.088233947,30.9027,0.14451169,24.0887,17.80009,4798793.0,5834002.0,3488596.0,4201521.0,0.086519889
01/01/2000,01:51:34.78,44.8535,97.4365,394.492,0.088162002,30.9351,0.14460557,24.1066,17.746379,4799476.0,5834157.0,3488562.0,4201843.0,0.086238307
01/01/2000,01:51:35.28,44.8801,97.4392,393.884,0.088060197,30.9477,0.14463919,24.1138,17.750575,4800141.0,5834338.0,3488663.0,4201932.0,0.086237087
01/01/2000,01:51:35.79,44.9066,97.4359,393.862,0.088048276,30.956,0.14465248,24.1178,17.748057,4800192.0,5834873.0,3488552.0,4201962.0,0.08652769
01/01/2000,01:51:36.29,44.9331,97.4384,393.91,0.088053226,30.9736,0.144701,24.1277,17.726237,4800726.0,5835112.0,3488496.0,4202208.0,0.086342468
01/01/2000,01:51:36.79,44.9571,97.4362,393.582,0.087992906,30.9972,0.14476209,24.1399,17.749736,4801214.0,5835343.0,3488386.0,4202362.0,0.086246967
01/01/2000,01:51:37.30,44.9784,97.4422,393.368,0.087959346,31.0029,0.14478111,24.1441,17.753932,4801775.0,5835957.0,3488715.0,4202658.0,0.086638259
01/01/2000,01:51:37.81,45.0023,97.4377,393.277,0.087935562,31.0173,0.14481157,24.151,17.737147,4801763.0,5835706.0,3488094.0,4202310.0,0.086447772
01/01/2000,01:51:38.31,45.0316,97.439,392.62,0.087823686,31.0345,0.14485627,24.1605,17.848768,4802484.0,5835387.0,3488365.0,4202676.0,0.086639699
01/01/2000,01:51:38.81,45.061,97.4397,392.563,0.087809143,31.0345,0.14484864,24.1606,17.748897,4802657.0,5836606.0,3488390.0,4202591.0,0.086350479
01/01/2000,01:51:39.32,45.085,97.4402,392.68,0.087823925,31.0428,0.14486718,24.1651,17.74554,4803286.0,5836549.0,3488382.0,4202879.0,0.086551532
01/01/2000,01:51:39.82,45.109,97.439,392.343,0.087763195,31.066,0.14492845,24.1774,17.776591,4803265.0,5836567.0,3488080.0,4202820.0,0.086552085
01/01/2000,01:51:40.33,45.1331,97.4392,391.991,0.087701139,31.0845,0.14497745,24.1873,17.751414,4804100.0,5836744.0,3488273.0,4203229.0,0.086464233
01/01/2000,01:51:40.83,45.1626,97.4402,391.743,0.087655658,31.0885,0.14498204,24.1896,17.740504,4803917.0,5836777.0,3488230.0,4203046.0,0.086656303
01/01/2000,01:51:41.34,45.184,97.4405,392.22,0.087729511,31.0826,0.14495843,24.1865,17.752254,4804754.0,5838484.0,3488561.0,4203344.0,0.086560001
01/01/2000,01:51:41.84,45.2108,97.4407,392.075,0.087700786,31.0923,0.14498013,24.1918,17.769877,4804976.0,5837696.0,3488336.0,4203387.0,0.08656846
01/01/2000,01:51:42.35,45.2376,97.4434,391.617,0.087623062,31.1045,0.14501273,24.1988,17.753093,4805424.0,5838303.0,3488304.0,4203355.0,0.086663455
01/01/2000,01:51:42.85,45.2645,97.4419,391.869,0.087657566,31.1031,0.1449986,24.1978,17.772395,4805031.0,5838204.0,3488360.0,4203277.0,0.08733469
01/01/2000,01:51:43.36,45.2887,97.4257,392.796,0.087788696,31.0822,0.14490699,24.1838,17.748057,4806621.0,5841437.0,3490179.0,4204713.0,0.14978935
01/01/2000,01:51:43.86,45.313,97.2962,395.972,0.088177146,30.8267,0.1439597,24.0241,17.749736,4814470.0,5854677.0,3503724.0,4212456.0,0.38840994
01/01/2000,01:51:44.28,45.3425,97.1342,397.324,0.08824521,31.5028,0.14576745,24.358,17.663293,4806247.0,5841818.0,3479235.0,4209324.0,0.4750071
01/01/2000,01:51:44.78,45.3668,96.988,397.941,0.088224887,33.6434,0.15185546,25.4346,17.717006,4797501.0,5833661.0,3448267.0,4205539.0,0.60165443
01/01/2000,01:51:45.28,45.3884,96.8945,399.407,0.088419494,38.3987,0.16506433,27.6616,17.743022,4789694.0,5823921.0,3362873.0,4198804.0,0.66191625
01/01/2000,01:51:47.30,45.45932500000001,96.786425,401.02925000000005,0.0886106035,42.764100000000006,0.1764661775,29.49575,17.7262375,4795696.25,5832109.25,3353472.25,4199286.75,0.723731355
01/01/2000,01:51:47.83,45.5209,96.7512,393.386,0.087344055,44.262,0.18024456,30.0895,17.739665,4810228.0,5837805.0,3347538.0,4201966.0,0.74879355
01/01/2000,01:51:48.28,45.5427,96.7527,389.867,0.086751995,42.6942,0.17620867,29.4629,17.705256,4810580.0,5839073.0,3372903.0,4202720.0,0.74038295
01/01/2000,01:51:48.78,45.5671,96.744,391.38,0.086967706,40.9557,0.17163741,28.7424,17.73379,4809377.0,5839621.0,3386005.0,4203428.0,0.74450707
01/01/2000,01:51:49.28,45.5942,96.7434,392.855,0.0871951,40.3193,0.16994011,28.4724,17.741343,4808854.0,5839919.0,3387843.0,4204075.0,0.76259522
01/01/2000,01:51:49.78,45.616,96.728,394.213,0.087390003,39.6754,0.16819024,28.1929,17.73379,4808631.0,5841244.0,3401203.0,4204564.0,0.76756615
01/01/2000,01:51:50.28,45.6459,96.73,395.486,0.087586107,39.0856,0.1665973,27.9362,17.736308,4807422.0,5840721.0,3400938.0,4204193.0,0.76521053
01/01/2000,01:51:50.78,45.6704,96.7402,396.39,0.087730646,38.4709,0.16493993,27.6665,17.679239,4807518.0,5841775.0,3414533.0,4204320.0,0.75309128
